CNN_Channels,MinLSTM_Hidden,Learning_Rate,MSE
16,25,0.0001,1766.240234375
16,25,0.001,16.83460235595703
16,25,0.01,0.5092989802360535
16,50,0.0001,1.7571001052856445
16,50,0.001,1.6895313262939453
16,50,0.01,0.49559304118156433
16,75,0.0001,26025.451171875
16,75,0.001,0.45565828680992126
16,75,0.01,0.43988656997680664
32,25,0.0001,1191.871826171875
32,25,0.001,2.3776695728302
32,25,0.01,0.4515375792980194
32,50,0.0001,20.33037757873535
32,50,0.001,0.5956366658210754
32,50,0.01,0.45655086636543274
32,75,0.0001,240.6136932373047
32,75,0.001,8.398945808410645
32,75,0.01,0.4587803781032562
64,25,0.0001,39.068050384521484
64,25,0.001,0.4841585159301758
64,25,0.01,0.5346767902374268
64,50,0.0001,1166.915283203125
64,50,0.001,0.49241137504577637
64,50,0.01,0.44323328137397766
64,75,0.0001,3.2478954792022705
64,75,0.001,0.8816859126091003
64,75,0.01,0.4427483081817627
